Tên xe,Giá tiền,Ngày đăng bài,Năm sản xuất,Nhiên liệu,Kiểu dáng,Tình trạng,Số km đã đi,Hộp số,Xuất xứ,Địa điểm,URL
Ford Escape XLS 2009,295.000.000 VND,22/09/2025,20,Xăng,SUV,Xe cũ,,Số tự động,N/A,Hà Nội,https://oto.com.vn/mua-ban-xe-ford-escape-ha-noi/2009-so-tu-dong-tai-aidxc23368895
Ford Transit Luxury 2017,465.000.000 VND,24/09/2025,20,Dầu,Van/Minivan,Xe cũ,57.940 km,Số tự động,Trong nước,Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-transit-hcm/2017-luxury-57940-km-aidxc23369572
Kia Morning SX 1.1 AT Sport 2010,456.800.000 VND,23/09/2025,20,Xăng,Hatchback,Xe cũ,62.500 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-kia-morning-hcm/2010-sx-11-at-sport-62500-km-aidxc23369210
Chevrolet Cruze 2017,200.000.000 VND,23/09/2025,20,Xăng,Sedan,Xe cũ,190.000 km,Số sàn,Nhập khẩu,Quảng Nam,https://oto.com.vn/mua-ban-xe-chevrolet-cruze-quang-nam/can-ra-di-em-chervolet-mau-do-dk-122017-aidxc23369204
VinFast Fadil 2022,310.000.000 VND,18/09/2025,20,Xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Đà Nẵng,https://oto.com.vn/mua-ban-xe-vinfast-fadil-da-nang/2022-60000-km-aidxc23367485
Hyundai Santa Fe 2.2 Dầu Đặc biệt 2019,999.000.000 VND,20/09/2025,20,Dầu,SUV,Xe cũ,91.000 km,Số tự động,Trong nước,Đà Nẵng,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-da-nang/santafe-nha-dung-con-moi-cung-may-dau-tu-dong-aidxc23368247
Mazda 3 1.5 Hatchback 2016,400.000.000 VND,16/09/2025,20,Xăng,Hatchback,Xe cũ,45.000 km,Số tự động,Trong nước,Lâm Đồng,https://oto.com.vn/mua-ban-xe-mazda-3-lam-dong/2016-15-at-hatchback-45000-km-aidxc23366324
Chevrolet Spark LT 2018,110.000.000 VND,18/09/2025,20,Xăng,Hatchback,Xe cũ,139.000 km,Số tự động,Trong nước,Tp.HCM,https://oto.com.vn/mua-ban-xe-chevrolet-spark-hcm/2018-12-lt-139000-km-aidxc23367623
Hyundai Accent 1.4 AT Đặc biệt 2020,420.000.000 VND,24/09/2025,20,Xăng,Sedan,Xe cũ,65.000 km,Số tự động,Trong nước,Tp.HCM,https://oto.com.vn/mua-ban-xe-hyundai-accent-hcm/2020-14at-65000-km-aidxc23369567
VinFast Fadil 2022,310.000.000 VND,19/09/2025,20,Xăng,Hatchback,Xe cũ,58.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-vinfast-fadil-hcm/2022-58000-km-aidxc23367743
Toyota Corolla Cross 1.8 G 2022,860.000.000 VND,22/09/2025,20,Xăng,Crossover,Xe cũ,29.500 km,Số tự động,Nhập khẩu,Thủ Đức - Tp.HCM,https://oto.com.vn/mua-ban-xe-toyota-corolla-cross-hcm/18-g-2022-aidxc23368996
Toyota Fortuner 2.5G 2009,698.000.000 VND,16/09/2025,20,Dầu,SUV,Xe cũ,320.000 km,Số sàn,Trong nước,Bình Dương,https://oto.com.vn/mua-ban-xe-toyota-fortuner-binh-duong/2009-25g-320000-km-aidxc23366525
Hyundai Elantra 2017,495.000.000 VND,20/09/2025,20,Xăng,Sedan,Xe cũ,160.000 km,Số sàn,Nhập khẩu,Quảng Nam,https://oto.com.vn/mua-ban-xe-hyundai-elantra-quang-nam/can-ban-e-xe-gia-dinh-hyndai-gps-2017-aidxc23368209
Toyota Vios 1.5E MT 2013,215.000.000 VND,22/09/2025,20,Xăng,Sedan,Xe cũ,120.000 km,Số sàn,Trong nước,Thừa Thiên Huế,https://oto.com.vn/mua-ban-xe-toyota-vios-thua-thien-hue/2013-15e-120000-km-aidxc23368827
Mitsubishi Xpander 1.5 MT 2019,495.000.000 VND,17/09/2025,20,Xăng,MPV,Xe cũ,300.000 km,Số sàn,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-hcm/2019-15mt-300000-km-aidxc23366982
Mazda CX-8 Premium 2023,700.000.000 VND,19/09/2025,20,Xăng,SUV,Xe cũ,7.000 km,Số tự động,Trong nước,Tp.HCM,https://oto.com.vn/mua-ban-xe-mazda-cx-8-hcm/2023-premium-7000-km-aidxc23367939
Toyota Venza 3.5 AWD AT 2009,400.000.000 VND,16/09/2025,20,Xăng,SUV,Xe cũ,110.000 km,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM,https://oto.com.vn/mua-ban-xe-toyota-venza-hcm/xe-con-rat-dep-aidxc23366337
Hyundai Accent 1.4 MT 2019,420.000.000 VND,21/09/2025,20,Xăng,Sedan,Xe cũ,54.000 km,Số sàn,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-hyundai-accent-ha-noi/2019-14-mt-54000-km-aidxc23368673
Kia Sonet 1.5 Luxury 2021,460.000.000 VND,19/09/2025,20,Xăng,SUV,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-kia-sonet-ha-noi/2021-luxury-at-60000-km-aidxc23368086
Kia Sorento 2.4 GAT AWD 2011,465.000.000 VND,19/09/2025,20,Xăng,SUV,Xe cũ,98.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-kia-sorento-hcm/2011-gat-4wd-24-98000-km-aidxc23367790
Toyota Vios 1.5E MT 2018,215.000.000 VND,25/09/2025,20,Xăng,Sedan,Xe cũ,164.000 km,Số sàn,Trong nước,Tp.HCM,https://oto.com.vn/mua-ban-xe-toyota-vios-hcm/2018-15e-mt-164000-km-aidxc23370058
Mitsubishi Xpander Cross 1.5 AT 2022,475.000.000 VND,21/09/2025,20,Xăng,Crossover,Xe cũ,17.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-cross-hcm/den-cuoi-2022-sx-indo-17000km-aidxc23368535
Ford Everest Trend 2.0 AT 4x2 2019,1.330.000.000.000 VND,25/09/2025,20,Dầu,SUV,Xe cũ,145.675 km,Số tự động,Nhập khẩu,Đồng Nai,https://oto.com.vn/mua-ban-xe-ford-everest-dong-nai/2019-trend-20l-at-4x2-145675-km-aidxc23369974
Toyota Avanza 1.5 AT 2022,450.000.000 VND,16/09/2025,20,Xăng,MPV,Xe cũ,65.000 km,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM,https://oto.com.vn/mua-ban-xe-toyota-avanza-hcm/xe-con-dep-nhu-moi-aidxc23366348
Mitsubishi Xpander 1.5 AT 2019,495.000.000 VND,23/09/2025,20,Xăng,MPV,Xe cũ,130.000 km,Số tự động,Nhập khẩu,Lâm Đồng,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-lam-dong/2019-15-at-130000-km-so-tu-dong-aidxc23369256
Kia Carens SX 2.0 MT 2011,238.000.000 VND,22/09/2025,20,Xăng,MPV,Xe cũ,,Số sàn,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-kia-carens-hcm/ban-caren-2011-mt-aidxc23368833
Chevrolet Cruze LS 2014,190.000.000 VND,17/09/2025,20,Xăng,Sedan,Xe cũ,190.000 km,Số tự động,Trong nước,Tiền Giang,https://oto.com.vn/mua-ban-xe-chevrolet-cruze-tien-giang/2014-ls-2014-190000-km-aidxc23366989
Kia Cerato 2.0 AT Premium 2021,310.000.000 VND,22/09/2025,20,Xăng,Sedan,Xe cũ,450.000 km,Số tự động,Trong nước,Khánh Hòa,https://oto.com.vn/mua-ban-xe-kia-cerato-khanh-hoa/2021-20-at-premium-45000-km-aidxc23369006
Hyundai i30 CW 1.6 AT 2011,220.000.000 VND,24/09/2025,20,Xăng,Hatchback,Xe cũ,93.000 km,Số tự động,Nhập khẩu,Bình Dương,https://oto.com.vn/mua-ban-xe-hyundai-i30-binh-duong/2011-93000-km-aidxc23369704
Mitsubishi Xpander 1.5 MT 2019,495.000.000 VND,23/09/2025,20,Xăng,MPV,Xe cũ,78.000 km,Số sàn,Nhập khẩu,Di Linh - Lâm Đồng,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-lam-dong/can-ban-xe-nha-gia-dinh-aidxc23369404
Suzuki Ertiga Hybrid Ertiga AT 2022,335.000.000 VND,26/09/2025,20,Hybrid,SUV,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM,https://oto.com.vn/mua-ban-xe-suzuki-ertiga-hcm/xe-dep-aidxc23323724
Mitsubishi Xpander 1.5 AT 2019,495.000.000 VND,26/09/2025,20,Xăng,MPV,Xe cũ,70.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-hcm/7-cho-tu-dong-gia-dang-giam-soc-2019-aidxc23370336
